sheetNum	title	roadType	duration	signs	elements	notes
619-418	Single Lane Closure Near Exit Ramp - Freeway Intermediate (2 Sheets)	Freeway	Intermediate	G20-2|NYR2-2|NYR2-6|NYR9-11|NYW8-33|R2-1|W20-1|W20-5|W4-2R|W5-4	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 418-01..418-05; Book 3 p.127-128
619-419	Sidewalk Detour or Diversion - Two-Lane Intermediate	Two-Lane Two-Way	Intermediate			DesignerRef only - not in 2026 Book 3 PDF. See 321/520 for similar sidewalk patterns.
619-420	Crosswalk Closure and Pedestrian Detour - Two-Lane Intermediate	Two-Lane Two-Way	Intermediate			DesignerRef only - not in 2026 Book 3 PDF. See 322/520 for similar crosswalk patterns.
619-421	Flagging Operation at Intersection - Two-Lane Intermediate (2 Sheets)	Two-Lane Two-Way	Intermediate	G20-2|NYR9-11|W20-1|W20-4|W20-7|W20-7a|W3-4	Flagger|ProtectiveVehicle(optional)|ChannelizingDevices|DownstreamTaper	Tables 421-01,421-02,421-03,421-04; Book 3 p.129-131
619-422	Single Lane Shift with Two Way Left Turn Lane - Two-Lane Intermediate	Two-Lane Two-Way	Intermediate	G20-2|NYR9-11|NYW8-33|R4-7|W1-4L|W1-4R|W1-6L|W1-6R|W13-1|W20-1|W20-4|W20-5|W24-1L|W9-3	ProtectiveVehicle|ArrowPanel|DownstreamTaper|ShoulderTaper|ChannelizingDevices	Tables 422-01..422-07; Book 3 p.132-133
619-423	Double Interior Lane Closure - Multilane Two-Way Intermediate	Non-Freeway	Intermediate	G20-2|NYR9-11|NYW8-33|W20-1|W20-5|W20-5L|W4-2L	ProtectiveVehicle|ArrowPanel|DownstreamTaper|ShoulderTaper|ChannelizingDevices	Tables 423-01..423-06; Book 3 p.134-135
619-501	Right Shoulder Closure - Freeway Long Term (2 Sheets)	Freeway	Long Term	G20-1|G20-2|NYR2-2|NYR2-6|NYR9-11|R2-1|W20-1|W21-5aL|W21-5aR|W21-5bL|W21-5bR|W7-3a	ProtectiveVehicle|DownstreamTaper|ShoulderTaper|ChannelizingDevices|Barrier	Tables 501-01,501-02,501-03,501-04; Book 3 p.136-137
619-502	Multi Lane Shift - Freeway Long Term (2 Sheets)	Freeway	Long Term	G20-2|NYR2-2|NYR2-6|NYR9-11|R2-1|R4-9|W1-4cL|W1-4cR|W13-1|W20-1|W24-1bL|W24-1bR	ProtectiveVehicle|MergingTaper|DownstreamTaper|ShoulderTaper|ChannelizingDevices|Barrier	Tables 502-01..502-05; Book 3 p.138-139
619-503	Offsite Detour Road/Bridge - Non-Freeway Long Term (3 Sheets)	Non-Freeway	Long Term		Detour	Book 3 p.140-141
619-504	Single Lane Closure - Multilane Divided/Freeway Long Term (2 Sheets)	Freeway	Long Term	G20-2|NYR2-2|NYR2-6|NYR9-11|R2-1|W20-1|W20-5|W20-5L|W4-2L|W4-2R	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices|Barrier	Tables 504-01..504-05; Book 3 p.143-144
619-517	Single Lane Closure Near Entrance Ramp - Freeway Long Term (2 Sheets)	Freeway	Long Term	G20-2|NYR2-2|NYR2-6|NYR9-11|NYW8-33|R1-2|R2-1|W20-1|W20-5|W3-2|W4-1R|W4-2R	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices	Tables 517-01..517-06; Book 3 p.145-146
619-518	Single Lane Closure Near Exit Ramp - Freeway Long Term (2 Sheets)	Freeway	Long Term	G20-2|NYR2-2|NYR2-6|NYR9-11|NYW8-33|R2-1|W20-1|W20-5|W4-2R|W5-4	MergingTaper|DownstreamTaper|ProtectiveVehicle|ArrowPanel|ChannelizingDevices|Barrier	Tables 518-01..518-05; Book 3 p.147-148
619-519	Sidewalk Detour or Diversion - Two-Lane Long Term	Two-Lane Two-Way	Long Term			In Book 3 TOC but p.149-150 blank in PDF. See 321/520; confirm against printed sheet.
619-520	Crosswalk Closure and Pedestrian Detour - Two-Lane Long Term	Two-Lane Two-Way	Long Term	G20-2|R8-3|R9-10|R9-11L|R9-11R|R9-9|W11-2L|W11-2R|W16-7PL|W16-7PR|W16-9P|W20-1|W5-4	ChannelizingDevices|DownstreamTaper|Detour	Tables 520-01,520-02,520-03; Book 3 p.151-152
619-523	Double Interior Lane Closure - Multilane Two-Way Long Term	Non-Freeway	Long Term	G20-2|NYR9-11|NYW8-33|W20-1|W20-5|W20-5aL|W4-2L	ProtectiveVehicle|ArrowPanel|DownstreamTaper|ChannelizingDevices	Tables 523-02,523-04,523-05; Book 3 p.153
619-524	Temporary Traffic Signal - Two-Lane Long Term	Two-Lane Two-Way	Long Term	G20-2|NYR9-11|R10-6L|R10-6R|W1-6L|W1-6R|W13-1|W13-1P|W20-1|W20-4|W3-3	TempSignal|ProtectiveVehicle|DownstreamTaper|ShoulderTaper|ChannelizingDevices|Barrier	Tables 524-01..524-05; Book 3 p.155-156
